"","attributes","B and B","Rusty Nail","The Blenheim","Churchill","Common Market","Four Score","Golden Doublet","Kensington Court Special","Link Up","Lorraine","Missouri Mule","Moonwalk","My Fair Lady","Nixon","Powerscourt","The Ed Shelly","Prince of Wales","Royal Arrival","Savoy Affair","Savoy Royale","Savoy Corpse Reviver","Wolfram","Brandy Alexander","Manhattan","Brandy Sour","Sours","White Lady","Brandy Daisy","Chicago Cocktail","French Connection","Horse's Neck","Incredible Hulk","Jack Rose","Paradise","Pisco sour","Porto Flip","Sazerac","Sidecar","Singapore Sling","Stinger","Tom and Jerry","Caipirinha","Caju amigo","Batida","Quentão","Bacardi cocktail","Between the Sheets","Blue Hawaii","Brass Monkey","Bumbo","Bushwacker","","Cojito","Cremat","Cuba Libre (Rum and Coke)","Cuban Sunset","Daiquiri","Dark 'n' Stormy","El Presidente","Flaming Doctor Pepper","Flaming volcano","Gunfire","Hot buttered rum","Hurricane","Long Island Iced Tea","Macuá","Mai Tai","Mojito","Painkiller","Piña colada","Planter's Punch","Bermuda Rum Swizzle","151 Swizzle","Suffering Bastard (1942)","Club-Mate","Tschunk","Yellow Bird","Zombie","Bloody Mary","Sake bomb","Tamagozake","Chimayó Cocktail","El Toro Loco","Tom Collins","Juan Collins","Margarita","Matador","Paloma","Tequila Slam/Coscorron","Tequila Sunrise","Vampiro","Agent Orange","Appletini ","Astro pop","Black Russian","BLT","Blue Lagoon","Caesar","Cape Codder","Colombia","Cosmopolitan","Fizzy Apple Cocktail","Gimlet","Harrogate Nights","Harvey Wallbanger","Screwdriver","Kamikaze","Mint julep","Lemon drop martini","Rickey","Moscow mule","Orange Tundra","Red Russian","Salmiakki Koskenkorva","Salty dog","Sea Breeze","Sex on the Beach","Vesper","Vodka martini","White Russian","Woo Woo","Yorsh","Amber Moon","Black Nail","Bobby Burns","Boulevardier","Bourbon lancer","Brooklyn","Farnell","Irish Coffee","Horsefeather","Jack and Coke","Lynchburg Lemonade","Old Fashioned","Rob Roy","Scotch and soda","Seven and Seven","Toronto","Whiskey sour","Black Velvet","Death in the Afternoon","B-52","Baby Guinness","Orgasm","Backdraft","Carrot Cake","Jägerbomb","Americano","Polar Bear","Redheaded slut"
"94","Reference [1]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Reference [1]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","Sazerac recipe at International Bartenders Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sazerac recipe at International Bartenders Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","Scotch and soda (made approximately in ratio 1:2), served with ice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Scotch and soda (made approximately in ratio 1:2), served with ice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","Screwdriver at theBirmingham-Shuttlesworth International Airport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Screwdriver at theBirmingham-Shuttlesworth International Airport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","Screwdriver recipe at International Bartenders Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Screwdriver recipe at International Bartenders Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","Sea Breeze",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sea Breeze",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","Sea Breeze recipe at International Bartenders Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sea Breeze recipe at International Bartenders Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","Served","With or without ice","On the rocks; poured over ice","Straight up; without ice","Straight up; without ice","Straight up; without ice","Straight up; without ice","Straight up; without ice","Straight up; without ice","On the rocks; poured over ice","On the rocks; poured over ice","Straight up; without ice","Straight up; without ice","Straight up; without ice","On the rocks; poured over ice","Straight up; without ice","Straight up; without ice","Straight up; without ice","Straight up; without ice","Straight up; without ice","Straight up; without ice","Straight up; without ice","Straight up; without ice","Straight up; without ice","Straight up; without ice","On the rocks; poured over ice",NA,"Straight up; without ice","straight up (without ice)","On the rocks; poured over ice","On the rocks; poured over ice","On the rocks; poured over ice","On the rocks; poured over ice","Straight up; without ice","Straight up; without ice","Straight up; without ice","Straight up; without ice","Straight up; without ice","Straight up; without ice","Straight up; without ice","Straight up; without ice","Hot in a mug or bowl","On the rocks; poured over ice","On the rocks; poured over ice","Hot","rocks x","Straight up; without ice","Straight up; without ice","On the rocks; poured over ice","On the rocks; poured over ice","Straight up; without ice","straight up","blended with crushed ice","straight up in a cocktail glass","hot","On the rocks; poured over ice","on the rocks, poured over ice","Straight up; without ice","On the rocks; poured over ice","Straight up; without ice",NA,"Blended with ice (frozen style)","stirred",NA,"""On the rocks""; poured over ice","On the rocks; poured over ice","On the rocks","On the rocks; poured over ice","On the rocks; poured over ice","on the rocks","Blended","On the rocks; poured over ice","On the rocks; poured over ice","On the rocks; poured over ice",NA,NA,NA,"Straight up; without ice","On the rocks; poured over ice","On the rocks; poured over ice","Straight up; without ice","Hot","On the rocks; poured over ice",NA,"On the rocks; poured over ice","On the rocks; poured over ice","On the rocks; poured over ice","shaken","On the rocks; poured over ice","Straight up; without ice","On the rocks; poured over ice","On the rocks; poured over ice","On the rocks; poured over ice","Straight up","Typically layered","On the rocks; poured over ice","Straight up; without ice","On the rocks; poured over ice","on the rocks","On the rocks; poured over ice",NA,"Straight up; without ice","chilled","straight or on the rocks","On the rocks; poured over ice","On the rocks; poured over ice","On the rocks; poured over ice","Straight up; without ice","On the rocks; poured over ice","Straight up; without ice","On the rocks; poured over ice","On the rocks; poured over ice","straight or with ice","On the rocks; poured over ice","Neat; undiluted and without ice","Straight up; without ice","On the rocks; poured over ice","On the rocks; poured over ice","Straight up; without ice",NA,"On the rocks; poured over ice","On the rocks; poured over ice",NA,"Straight up; without ice","On the rocks; poured over ice","Straight up; without ice","On the rocks; poured over ice","On the rocks; poured over ice","Straight up; without ice","On the rocks; poured over ice","Hot","On the rocks; poured over ice","On the rocks; poured over ice","On the rocks; poured over ice","On the rocks; poured over ice","Choice of ""straight up"" or ""On the rocks""",NA,"On the rocks; poured over ice","Straight up; without ice","On the rocks; poured over ice","Straight",NA,"Neat; undiluted and without ice",NA,"On the rocks; poured over ice","Straight up; without ice",NA,NA,"On the rocks; poured over ice","blended, on the rocks or neat","On the rocks; poured over ice"
"102","Sex on the Beach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sex on the Beach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","Sex on the Beach recipe at International Bartenders Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sex on the Beach recipe at International Bartenders Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","Shows a Tequila Sunrise demonstrating its resemblance to a sunrise. Shown in a stemware rather than the usual collins glass",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shows a Tequila Sunrise demonstrating its resemblance to a sunrise. Shown in a stemware rather than the usual collins glass",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","Sidecar recipe at International Bartenders Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sidecar recipe at International Bartenders Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","Singapore Sling recipe at International Bartenders Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Singapore Sling recipe at International Bartenders Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","Standard drinkware","Snifter","Rocks glass","Cocktail glass","Cocktail glass","Cocktail glass","Cocktail glass","Cocktail glass","Cocktail glass","Cocktail glass","Cocktail glass","Cocktail glass","Cocktail glass","Cocktail glass","Cocktail glass","Cocktail glass","Snifter","Champagne flute","Cocktail glass","Champagne cocktail glass","Champagne glass",NA,"Cocktail glass","Cocktail glass","Cocktail glass","Highball glass",NA,"Cocktail glass","Coupe","Old Fashioned glass","Old Fashioned glass","Highball glass","Cocktail glass","Cocktail glass","Cocktail glass","Old Fashioned glass","Cocktail glass","Old Fashioned glass","Cocktail glass","Hurricane glass","Cocktail glass","Mug","Old Fashioned glass",NA,"Mug","Zombie glass","Cocktail glass","Cocktail glass","Hurricane glass","Highball glass","Old Fashioned glass","Hurricane Glass","Tall clear glass","Cocktail glass",NA,"Highball glass","Highball glass","Cocktail glass","Highball glass","Cocktail glass","A pub glass and a shot glass.","Special: volcano bowl","Mug","Coffee cup","hurricane lamp–shaped glass","Highball glass","Highball glass","Old Fashioned glass","Collins glass",NA,"Poco","Highball glass","Cocktail Glass","Pilsner Glass or Tall Glass","Double Old-Fashioned",NA,NA,"Cocktail glass","Tiki Mug~~~1 1/2 oz  Puerto Rican golden rum~~~1 1/2 oz Jamaican rum~~~1 oz demerara 151 rum~~~1/2 oz Donn's Mix (2:1 mix of grapefruit juice & cinnamon syrup)~~~1/2 oz Velvet Falernum~~~3/4 oz  lime juice~~~1/4 oz grenadine~~~2 dashes absinthe~~~1 dash angostura bitters","Highball glass","A pint glass and a shot glass.",NA,"Highball glass",NA,"Collins glass","Collins glass","Margarita glass","Cocktail glass","Highball glass","Rocks glass","Collins glass","Old Fashioned glass","Old Fashioned glass","Cocktail glass",NA,"Old Fashioned glass",NA,"Highball glass","Highball glass","Highball glass","Highball glass","Cocktail glass","Cocktail glass","Cocktail glass","Highball glass","Highball glass","Highball glass","Cocktail glass","Highball glass","Martini glass","Highball glass","copper mug","Highball glass","Rocks glass",NA,"Highball glass","Highball glass","Highball glass","chilled cocktail glass","Cocktail glass","Old Fashioned glass","Highball glass",NA,"Highball glass","Rocks glass","Cocktail glass","Old Fashioned glass","Highball glass","Cocktail glass","Collins glass","Irish coffee mug","Highball glass","Collins glass","Collins glass","Old Fashioned glass","Cocktail glass","Old Fashioned glass, highball glass","Collins glass","Cocktail glass","Cocktail glass","Pilsner glass","Champagne flute","Shot glass","Shot glass","Old Fashioned glass","Shot glass","Shot glass","A pub glass and a shot glass.","highball glass",NA,"Rocks glass (double)"
"108","Standard garnish",NA,NA,NA,NA,NA,"Lemon",NA,NA,NA,NA,NA,NA,NA,"a slice of fresh peach and a cherry",NA,NA,NA,NA,"a strawberry",NA,NA,NA,"Grated nutmeg","Maraschino cherry",NA,NA,NA,NA,"Lemon slice",NA,"Long spiral of lemon zest",NA,"cherry, apple slice",NA,"Angostura bitters (1 dash)","Grated nutmeg","Lemon peel",NA,"Maraschino cherry, pineapple",NA,NA,"lime[2]",NA,"citrus peel",NA,"Lime",NA,"pineapple or orange quarter slice, maraschino cherry",NA,"Nutmeg","Maraschino Cherry","Fresh mint and lime wheel","Trimmed coconut and mint leaf",NA,"Lime wedge","Lemon slice",NA,"Lime wedge","twist of orange peel",NA,"pineapple and/or orange quarter slices, maraschino cherries",NA,NA,NA,NA,"lemon slice","pineapple spear, mint leaves and lime shell","sprig of mint (Yerba buena in the original recipe), lemon slice","Nutmeg","Pineapple slice and/or maraschino cherry","Cherry and pineapple slice",NA,"Grated Nutmeg, Cinnamon stick","Orange slice & mint sprig",NA,NA,NA,"mint sprig","Celery stalk and lemon wedge (optional)",NA,NA,"slice of unpeeled apple",NA,"Lemon slice and maraschino cherry","Lime wedge and maraschino cherry","Salt on the rim","lime slice or twist","lime wedge",NA,"orange slice and cherry","Salt on the rim. Chili pepper (optional)","none","Apple slice; Cherry",NA,NA,"Bacon salt","lemon slice or Garnish the brim with an orange slice","stalk of celery and wedge of lime","lime slice",NA,"lime slice","apple slice; lemon","Lime","orange slice","orange slice and maraschino cherry","orange slice","Lime slice","Mint sprig","Lemon slice","lime half shell","Lime slice",NA,NA,NA,"Salted glass","lime slice","orange slice","lemon twist","Olive or lemon twist",NA,"Lime Wedge",NA,NA,"orange zest",NA,"Orange peel or cherry","Lemon peel","cherry",NA,NA,NA,NA,"Lemon wedge, maraschino cherry","Orange twist~~~cocktail cherry","2 Maraschino cherries on a skewer or lemon twist",NA,NA,"orange slice","Maraschino cherry and half orange slice",NA,NA,"Stirrer",NA,"cherry","Cinnamon",NA,NA,"half an orange slice, lemon twist",NA,NA
"109","Stinger cocktail served over ice in a rocks glass.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stinger cocktail served over ice in a rocks glass.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","Stinger recipe at International Bartenders Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stinger recipe at International Bartenders Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","Tequila Sunrise recipe at International Bartenders Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tequila Sunrise recipe at International Bartenders Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","The Long Island Iced Tea was named for its visual resemblance to non-alcoholic Iced tea.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Long Island Iced Tea was named for its visual resemblance to non-alcoholic Iced tea.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","The Woo Woo Cocktail",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Woo Woo Cocktail",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","This cocktail was invented at Liberty Bar in Seattle, Washington in honor of Royce Gracie.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"This cocktail was invented at Liberty Bar in Seattle, Washington in honor of Royce Gracie.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
